Name,Artist,Duration,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
Crazy - Single Version,Gnarls Barkley,3:00,0.0259,0.864,0.474,0.0487,0.0906,-8.41,0.0367,111.952,0.602
You Can't Always Get What You Want - Single Version,The Rolling Stones,4:49,0.482,0.276,0.679,4.47E-05,0.0931,-8.607,0.0768,183.71,0.54
Be Bop a Lula,Gene Vincent,2:36,0.488,0.575,0.482,0,0.171,-12.705,0.0454,127.631,0.85
Voodoo Child (Slight Return),Jimi Hendrix,5:12,0.475,0.217,0.907,0.0134,0.0507,-6.608,0.385,175.343,0.424
Hot Stuff,Donna Summer,6:40,0.00254,0.797,0.738,0.132,0.0433,-13.87,0.0341,120.494,0.964
Little Red Corvette - Single Version,Prince,3:08,0.235,0.777,0.7,8.02E-06,0.836,-11.045,0.0869,122.94,0.802
Living For The City,Stevie Wonder,7:22,0.0915,0.589,0.585,0,0.291,-9.958,0.076,99.298,0.455
The Boxer,Simon & Garfunkel,5:07,0.76,0.445,0.486,6.58E-04,0.189,-14.521,0.0616,93.019,0.629
Mr. Tambourine Man,Bob Dylan,5:27,0.822,0.469,0.431,0,0.359,-9.992,0.0425,85.083,0.458
Brown Eyed Girl,Van Morrison,3:05,0.202,0.479,0.596,0,0.186,-10.172,0.0381,154.18,0.916
I've Been Loving You Too Long,Otis Redding,3:01,0.7,0.499,0.246,0.00227,0.0965,-12.806,0.0325,148.468,0.152
I'm So Lonesome I Could Cry - Single Version,Hank Williams,2:45,0.901,0.666,0.251,0.00718,0.134,-11.054,0.0282,111.01,0.606
Up on the Roof,The Drifters,2:35,0.755,0.584,0.489,0,0.133,-6.182,0.0277,121.891,0.777
Da Doo Ron Ron (Re-Recorded),The Crystals,2:19,0.171,0.442,0.909,3.07E-04,0.371,-6.303,0.0535,147.835,0.654
You Send Me,Sam Cooke,2:43,0.88,0.563,0.3,0,0.143,-10.385,0.0269,95.926,0.464
"Shout, Pts. 1 & 2",The Isley Brothers,4:27,0.549,0.467,0.831,0,0.95,-7.661,0.0683,137.355,0.547
